user_name,date,time,session_nr,loop_nr,presented_sequence,recalled_sequence,outcome,mistakes_in_a_row,recall_time_in_s,sound_model,digit_length,session_time,time_between_digits,memory_method,tiredness,physical_activity,mental_state,motivation,location,session_mode,feedback
wager,23/11/2023,08:53:50,1,1,121,121,correct,0,5.197617769241333,3,3,00:00:08,0.0,11,5,0,6,7,5,3,
wager,23/11/2023,08:54:05,1,2,8409,8349,incorrect,1,3.437217950820923,3,4,00:00:23,0.0,11,5,0,6,7,5,3,
wager,23/11/2023,08:54:26,1,3,7125,7125,correct,0,9.537040948867798,3,4,00:00:44,0.0,11,5,0,6,7,5,3,
wager,23/11/2023,08:54:42,1,4,64692,64692,correct,0,3.8744049072265625,3,5,00:01:00,0.0,11,5,0,6,7,5,3,
wager,23/11/2023,08:54:59,1,5,61352,16352,incorrect,1,5.897935152053833,3,6,00:01:17,0.0,11,5,0,6,7,5,3,
wager,23/11/2023,08:55:20,1,6,794200,794200,correct,0,5.841115236282349,3,6,00:01:38,0.0,11,5,0,6,7,5,3,
wager,23/11/2023,08:55:44,1,7,3581037,3158017,incorrect,1,11.848827123641968,3,7,00:02:02,0.0,11,5,0,6,7,5,3,
wager,23/11/2023,08:56:05,1,8,9476268,7929023,incorrect,2,9.237361907958984,3,7,00:02:22,0.0,11,5,0,6,7,5,3,
wager,23/11/2023,08:56:28,1,9,692614,692914,incorrect,3,9.18989396095276,3,6,00:02:46,0.0,11,5,0,6,7,5,3,
wager,23/11/2023,08:56:41,1,10,89008,89008,correct,0,3.8415448665618896,3,5,00:02:58,0.0,11,5,0,6,7,5,3,
wager,23/11/2023,08:56:59,1,11,189990,189990,correct,0,7.918020963668823,3,6,00:03:16,0.0,11,5,0,6,7,5,3,
wager,23/11/2023,08:57:19,1,12,9452806,3112312,incorrect,1,9.059539794921877,3,7,00:03:36,0.0,11,5,0,6,7,5,3,
wager,23/11/2023,08:57:36,1,13,2649416,2684196,incorrect,2,6.465527057647705,3,7,00:03:54,0.0,11,5,0,6,7,5,3,
wager,23/11/2023,08:57:52,1,14,887409,884092,incorrect,3,7.240870952606201,3,6,00:04:10,0.0,11,5,0,6,7,5,3,
wager,27/11/2023,19:18:25,2,1,559,559,correct,0,3.1412792205810547,2,3,00:00:13,2.0,3,4,60,7,8,8,1,
wager,27/11/2023,19:18:55,2,2,6294,6294,correct,0,13.534711837768556,2,4,00:00:42,2.0,3,4,60,7,8,8,1,
wager,27/11/2023,19:19:45,2,3,37052,37052,correct,0,28.56692600250244,2,5,00:01:30,2.0,3,4,60,7,8,8,1,
wager,27/11/2023,19:20:10,2,4,774563,774563,correct,0,3.1297199726104736,2,6,00:01:57,2.0,3,4,60,7,8,8,1,
wager,27/11/2023,19:21:04,2,5,9385101,9583101,incorrect,1,18.012303113937378,2,7,00:02:52,2.0,3,4,60,7,8,8,1,
wager,27/11/2023,19:21:36,2,6,3557092,3557092,correct,0,7.52855110168457,2,7,00:03:23,2.0,3,4,60,7,8,8,1,
wager,27/11/2023,19:22:08,2,7,22961547,break,incorrect,1,0.0182850360870361,2,8,00:03:55,2.0,3,4,60,7,8,8,1,break
wager,27/11/2023,19:22:45,2,8,47201004,47201004,correct,0,7.767679929733276,2,8,00:04:33,2.0,3,4,60,7,8,8,1,
wager,28/11/2023,21:13:40,3,1,71,71,correct,0,1.762915849685669,2,2,00:00:08,2.0,4,7,120,4,6,8,1,
wager,28/11/2023,21:13:58,3,2,485,485,correct,0,3.9806621074676514,2,3,00:00:22,2.0,4,7,120,4,6,8,1,
wager,28/11/2023,21:14:19,3,3,6495,6495,correct,0,4.213728904724121,2,4,00:00:45,2.0,4,7,120,4,6,8,1,
wager,28/11/2023,21:14:41,3,4,5355,05355,correct,0,3.571799993515014,2,5,00:01:08,2.0,4,7,120,4,6,8,1,
wager,28/11/2023,21:15:08,3,5,314924,314924,correct,0,5.604233980178833,2,6,00:01:35,2.0,4,7,120,4,6,8,1,
wager,28/11/2023,21:15:43,3,6,1578251,1578251,correct,0,10.268003940582275,2,7,00:02:09,2.0,4,7,120,4,6,8,1,
wager,28/11/2023,21:16:45,3,7,23293426,2329426,incorrect,1,7.332513809204102,2,8,00:03:12,2.0,4,7,120,4,6,8,1,
wager,28/11/2023,21:17:17,3,8,72854134,72854134,correct,0,4.301980257034302,2,8,00:03:45,2.0,4,7,120,4,6,8,1,
wager,28/11/2023,21:30:50,3,9,6142391,006156931,incorrect,1,13.828693151474,2,9,00:17:17,2.0,4,7,120,4,6,8,1,
wager,28/11/2023,21:31:39,3,10,463553832,463553843,incorrect,2,18.06571793556213,2,9,00:18:06,2.0,4,7,120,4,6,8,1,
wager,28/11/2023,21:32:13,3,11,84631936,exit,incorrect,3,6.880869150161743,2,8,00:18:40,2.0,4,7,120,4,6,8,1,
wager,28/11/2023,21:32:39,3,12,7426975,quit,incorrect,4,0.0165438652038574,2,7,00:19:07,2.0,4,7,120,4,6,8,1,
wager,03/12/2023,22:16:06,4,1,50,050,correct,0,2.341221809387207,2,3,00:00:13,2.0,2,4,120,6,7,7,1,
wager,03/12/2023,22:16:24,4,2,1896,1896,correct,0,2.522590160369873,2,4,00:00:30,2.0,2,4,120,6,7,7,1,
wager,03/12/2023,22:16:46,4,3,76810,76810,correct,0,3.3278591632843018,2,5,00:00:53,2.0,2,4,120,6,7,7,1,
wager,03/12/2023,22:17:10,4,4,216779,216779,correct,0,4.084315061569214,2,6,00:01:17,2.0,2,4,120,6,7,7,1,
wager,03/12/2023,22:18:24,4,5,6159402,6159402,correct,0,13.355397701263428,2,7,00:01:54,2.0,2,4,120,6,7,7,1,
wager,03/12/2023,22:19:05,4,6,73457657,73457657,correct,0,14.255334854125977,2,8,00:03:12,2.0,2,4,120,6,7,7,1,
wager,03/12/2023,22:19:55,4,7,175462390,175462390,correct,0,16.262488842010498,2,9,00:04:02,2.0,2,4,120,6,7,7,1,
wager,03/12/2023,22:20:47,4,8,1130404243,1130404243,correct,0,17.533262014389038,2,10,00:04:54,2.0,2,4,120,6,7,7,1,
wager,03/12/2023,22:22:23,4,9,87327198816,87327198816,correct,0,11.600127935409546,2,11,00:06:29,2.0,2,4,120,6,7,7,1,
wager,03/12/2023,22:27:30,4,10,499399719269,4993997191269,incorrect,1,4.51521110534668,2,12,00:11:34,2.0,2,4,120,6,7,7,1,
wager,03/12/2023,22:28:20,4,11,333112453859,333112453859,correct,0,10.175643920898438,2,12,00:12:26,2.0,2,4,120,6,7,7,1,
wager,03/12/2023,22:29:20,4,12,305883641983,0305883641983,correct,0,16.60142993927002,2,13,00:13:26,2.0,2,4,120,6,7,7,1,
wager,03/12/2023,22:30:34,4,13,5460187100324,05450187100324,incorrect,1,25.989434957504272,2,14,00:14:41,2.0,2,4,120,6,7,7,1,
wager,03/12/2023,22:31:27,5,1,538,538,correct,0,2.128129005432129,2,3,00:00:05,0.0,6,7,120,5,4,5,2,
wager,03/12/2023,22:31:37,5,2,3216,3216,correct,0,3.010867118835449,2,4,00:00:16,0.0,6,7,120,5,4,5,2,
wager,03/12/2023,22:31:55,5,3,27972,27972,correct,0,3.336170196533203,2,5,00:00:27,0.0,6,7,120,5,4,5,2,
wager,03/12/2023,22:32:15,5,4,861260,861260,correct,0,7.199783086776733,2,6,00:00:53,0.0,6,7,120,5,4,5,2,
wager,03/12/2023,22:32:38,5,5,790910,0790910,correct,0,9.039239168167114,2,7,00:01:16,0.0,6,7,120,5,4,5,2,
wager,03/12/2023,22:33:02,5,6,39543258,39543258,correct,0,12.781836032867432,2,8,00:01:41,0.0,6,7,120,5,4,5,2,
wager,03/12/2023,22:33:20,5,7,798811990,798811990,correct,0,7.455711841583252,2,9,00:01:59,0.0,6,7,120,5,4,5,2,
wager,03/12/2023,22:33:44,5,8,4414788929,4414788929,correct,0,11.582820177078249,2,10,00:02:22,0.0,6,7,120,5,4,5,2,
wager,03/12/2023,22:34:12,5,9,35358579123,35358579123,correct,0,14.00796389579773,2,11,00:02:50,0.0,6,7,120,5,4,5,2,
wager,03/12/2023,22:34:52,5,10,168592384365,168188657845,incorrect,1,19.62343192100525,2,12,00:03:29,0.0,6,7,120,5,4,5,2,
wager,04/12/2023,22:03:52,6,1,933,933,correct,0,1.8504610061645508,2,3,00:00:05,0.0,6,7,120,6,4,8,2,
wager,04/12/2023,22:04:00,6,2,3164,3164,correct,0,1.4014921188354492,2,4,00:00:12,0.0,6,7,120,6,4,8,2,
wager,04/12/2023,22:04:15,6,3,76305,76305,correct,0,6.792267084121704,2,5,00:00:27,0.0,6,7,120,6,4,8,2,
wager,04/12/2023,22:04:29,6,4,627988,6279888,incorrect,1,5.66890287399292,2,6,00:00:41,0.0,6,7,120,6,4,8,2,
wager,04/12/2023,22:04:41,6,5,984525,984525,correct,0,3.974433898925781,2,6,00:00:53,0.0,6,7,120,6,4,8,2,
wager,04/12/2023,22:11:41,6,6,5794883,574883,incorrect,1,10.630167961120604,2,7,00:07:53,0.0,6,7,120,6,4,8,2,
wager,04/12/2023,22:12:00,6,7,9123220,9123220,correct,0,9.490230083465576,2,7,00:08:12,0.0,6,7,120,6,4,8,2,
wager,04/12/2023,22:12:31,6,8,36274850,36278430,incorrect,1,14.164855003356934,2,8,00:08:43,0.0,6,7,120,6,4,8,2,
